"Field","Declaration","DeclarationCount","TotalReferences","UsedElsewhere","Recommendation"
"_adornerLayer","D:/CODE/Cshp/SOUP/src/Behaviors/ListBoxDragDropBehavior.cs:32","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_albumArt","D:/CODE/Cshp/SOUP/src/Services/SpotifyService.cs:39","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_allItems","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_allocationBuddyHandler","D:/CODE/Cshp/SOUP/src/ViewModels/UnifiedSettingsViewModel.cs:36","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_allStores","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_analytics","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseViewModel.cs:206","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_appBarCallbackId","D:/CODE/Cshp/SOUP/src/Windows/OrderLogWidgetWindow.xaml.cs:32","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_applicationHandler","D:/CODE/Cshp/SOUP/src/ViewModels/UnifiedSettingsViewModel.cs:35","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_appName","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddySettingsViewMode...","3","0","-3","Candidate - manual verify (XAML/reflection)"
"_artistName","D:/CODE/Cshp/SOUP/src/Services/SpotifyService.cs:36","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_artRetryCts","D:/CODE/Cshp/SOUP/src/Services/SpotifyService.cs:44","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_autoLoadLastSession","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddySettingsViewMode...","3","0","-3","Candidate - manual verify (XAML/reflection)"
"_autoRefreshIntervalMinutes","D:/CODE/Cshp/SOUP/src/ViewModels/EssentialsBuddySettingsViewMode...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_autoSaveIntervalMinutes","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddySettingsViewMode...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_availableMonths","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseViewModel.cs:71","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_availableStores","D:/CODE/Cshp/SOUP/src/ViewModels/ExpirationItemDialogViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_availableUpdate","D:/CODE/Cshp/SOUP/src/ViewModels/MainWindowViewModel.cs:47, D:/C...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_averageShelfLife","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseAnalyticsViewModel.cs:43","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_bcService","D:/CODE/Cshp/SOUP/src/ViewModels/ExternalDataViewModel.cs:17","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_bcTestResult","D:/CODE/Cshp/SOUP/src/ViewModels/ExternalDataViewModel.cs:37","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_bcTestSuccess","D:/CODE/Cshp/SOUP/src/ViewModels/ExternalDataViewModel.cs:43","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_binCode","D:/CODE/Cshp/SOUP/src/ViewModels/InventoryItemDialogViewModel.cs:27","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_canAddSkuToItem","D:/CODE/Cshp/SOUP/src/ViewModels/ExpirationItemDialogViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_category","D:/CODE/Cshp/SOUP/src/ViewModels/InventoryItemDialogViewModel.cs:39","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_clipboardFormat","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddyRPGViewModel.cs:...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_closeToTray","D:/CODE/Cshp/SOUP/src/ViewModels/ApplicationSettingsViewModel.cs:62","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_completedHandler","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_config","D:/CODE/Cshp/SOUP/src/ViewModels/ExternalDataViewModel.cs:22","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_confirmBeforeExit","D:/CODE/Cshp/SOUP/src/ViewModels/ApplicationSettingsViewModel.cs:67","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_connectionString","D:/CODE/Cshp/SOUP/src/Data/DictionaryDbContext.cs:19","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_criticalCount","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseViewModel.cs:155","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_criticalItems","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseAnalyticsViewModel.cs:34","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_criticalThresholdDays","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseSettingsViewModel.cs:22","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_currentEdge","D:/CODE/Cshp/SOUP/src/Windows/OrderLogWidgetWindow.xaml.cs:30","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_currentModuleName","D:/CODE/Cshp/SOUP/src/Services/NavigationService.cs:32","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_currentMonth","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseViewModel.cs:109","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_currentMonthDisplay","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseViewModel.cs:115","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_currentPage","D:/CODE/Cshp/SOUP/src/ViewModels/DictionaryManagementViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_currentPreviewIndex","D:/CODE/Cshp/SOUP/src/Behaviors/ListBoxDragDropBehavior.cs:27","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_currentSession","D:/CODE/Cshp/SOUP/src/Services/SpotifyService.cs:47","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_currentVersion","D:/CODE/Cshp/SOUP/src/Services/UpdateService.cs:18","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_currentView","D:/CODE/Cshp/SOUP/src/Services/NavigationService.cs:26","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_customDictionaryItems","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddySettingsViewMode...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_dateDisplayFormat","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseSettingsViewModel.cs:46","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_defaultEssentialsOnly","D:/CODE/Cshp/SOUP/src/ViewModels/EssentialsBuddySettingsViewMode...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_defaultExportPath","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddySettingsViewMode...","3","0","-3","Candidate - manual verify (XAML/reflection)"
"_defaultImportPath","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddySettingsViewMode...","3","0","-3","Candidate - manual verify (XAML/reflection)"
"_defaultModule","D:/CODE/Cshp/SOUP/src/ViewModels/ApplicationSettingsViewModel.cs:32","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_defaultStatusFilter","D:/CODE/Cshp/SOUP/src/ViewModels/EssentialsBuddySettingsViewMode...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_defaultUnits","D:/CODE/Cshp/SOUP/src/ViewModels/ExpirationItemDialogViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_description","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddyRPGViewModel.cs:...","3","0","-3","Candidate - manual verify (XAML/reflection)"
"_dialogService","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddyRPGViewModel.cs:...","3","0","-3","Candidate - manual verify (XAML/reflection)"
"_dialogTitle","D:/CODE/Cshp/SOUP/src/ViewModels/ExpirationItemDialogViewModel.c...","2","0","-2","Candidate - manual verify (XAML/reflection)"
"_dictionaryFilePath","D:/CODE/Cshp/SOUP/src/ViewModels/AllocationBuddySettingsViewMode...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_dictionaryHandler","D:/CODE/Cshp/SOUP/src/ViewModels/UnifiedSettingsViewModel.cs:39","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_dictSuggestions","D:/CODE/Cshp/SOUP/src/ViewModels/ExpirationItemDialogViewModel.c...","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_disposed","D:/CODE/Cshp/SOUP/src/Data/DictionaryDbContext.cs:20, D:/CODE/Cs...","12","0","-12","Candidate - manual verify (XAML/reflection)"
"_dockedWidth","D:/CODE/Cshp/SOUP/src/Windows/OrderLogWidgetWindow.xaml.cs:36","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_draggedIndex","D:/CODE/Cshp/SOUP/src/Behaviors/ListBoxDragDropBehavior.cs:25","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_draggedItem","D:/CODE/Cshp/SOUP/src/Behaviors/ListBoxDragDropBehavior.cs:24","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_draggedListBoxItem","D:/CODE/Cshp/SOUP/src/Behaviors/ListBoxDragDropBehavior.cs:28","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_dragOffset","D:/CODE/Cshp/SOUP/src/Behaviors/ListBoxDragDropBehavior.cs:35","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_dragStartIndex","D:/CODE/Cshp/SOUP/src/Behaviors/ListBoxDragDropBehavior.cs:26","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_edgeBeforeMinimize","D:/CODE/Cshp/SOUP/src/Windows/OrderLogWidgetWindow.xaml.cs:31","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_essentialsBuddyHandler","D:/CODE/Cshp/SOUP/src/ViewModels/UnifiedSettingsViewModel.cs:37","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_essentialsOnly","D:/CODE/Cshp/SOUP/src/ViewModels/EssentialsBuddyViewModel.cs:90","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_expiredCount","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseViewModel.cs:161","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_expiredItems","D:/CODE/Cshp/SOUP/src/ViewModels/ExpireWiseAnalyticsViewModel.cs:31","1","0","-1","Candidate - manual verify (XAML/reflection)"
"_expireWiseHandler","D:/CODE/Cshp/SOUP/src/ViewModels/UnifiedSettingsViewModel.cs:38","1","0","-1","Candidate - manual verify (XAML/reflection)"
